Designator,Footprint,Quantity,Value,LCSC Part #,,,mã sản phẩm
BZ1,buzzer tmb09a05 9x5.5,1,Buzzer,,,,CL08069
"C1, C2",603,2,10p,,,,CLA1296
"C10, C3, C4, C9",603,4,100n,,,,
C11,603,1,150p,,,,
C12,603,1,22u,,,,
C13,603,1,10uF,,,,
C14,603,1,100nF,,,,
C8,603,1,10n,,,,
D1,603,1,LED,,,,
D2,D_SMA,1,SS34,,,,
J1,PinHeader_1x05_P2.54mm_Vertical,1,ISP_CON,,,,
"J2, J5",JST 4,2,Conn_01x04_Socket,,,,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,,,,
"J4, J6",JST 2,2,Conn_01x02_Socket,,,,
L1,L_7.3x7.3_H3.5,1,15uH,,,,
"Q1, Q2",SOT-23,2,S8550,,,,
"R1, R11, R12, R13",603,4,4.7K,,,,
"R10, R5, R7",603,3,100k,,,,
"R14, R15",603,2,5.1K,,,,
"R16, R9",603,2,10K,,,,
"R17, R18",603,2,1K,,,,
"R2, R3, R4",603,3,10R,,,,
R6,603,1,30k,,,,
R8,603,1,51k,,,,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RST_BUT,,,,
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,,,,
SW4,MK-12C02-G020_GSW,1,MK-12C02-G020,,,,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,,,,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm_ThermalVias,1,MP1584EN-LF-P,,,,
U4,QFP80P1200X1200X120-44N,1,PIC16F887-I_PT,PIC16F887-I/PT,,,
Y3,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12M,,,,
