Designator,Mid X,Mid Y,Rotation,Layer
BZ1,213.7,-82.25,180.0,top
C1,206.9,-69.3,90.0,top
C10,219.347,-109.3069,0.0,top
C11,213.322,-115.6069,0.0,top
C12,217.472,-101.9819,270.0,top
C13,204.822,-111.6569,0.0,top
C14,204.822,-113.3569,0.0,top
C2,200.6,-69.3,270.0,top
C3,209.6,-88.3,0.0,top
C4,210.2,-71.4,0.0,top
C8,221.0,-79.6,0.0,top
C9,226.122,-112.1319,90.0,top
D1,222.572,-98.3569,180.0,top
D2,221.322,-105.9069,0.0,top
J1,230.0,-86.955,0.0,top
J2,188.1445,-95.63,90.0,top
J3,196.472,-117.1369,0.0,top
J4,229.9275,-115.4388,270.0,top
J5,190.59,-64.5555,180.0,top
J6,189.4,-83.1,270.0,bottom
L1,212.522,-103.7569,90.0,top
Q1,207.9,-92.9,90.0,top
Q2,195.2,-81.7681,0.0,top
R1,221.1,-73.4,180.0,top
R10,213.322,-113.9069,180.0,top
R11,219.172,-101.9819,270.0,top
R12,193.2,-96.4,180.0,top
R13,193.2,-99.4,180.0,top
R14,201.822,-109.8569,0.0,top
R15,195.222,-109.5569,270.0,top
R16,223.175,-68.7,180.0,top
R17,205.1,-92.4,270.0,top
R18,195.4,-79.1,180.0,top
R2,223.7,-81.7,0.0,top
R3,223.7,-90.1,180.0,top
R4,223.7,-92.1,180.0,top
R5,227.772,-112.1569,90.0,top
R6,224.722,-102.1069,180.0,top
R7,223.922,-114.7319,270.0,top
R8,216.497,-118.7569,0.0,top
R9,216.472,-117.1569,180.0,top
SW1,222.525,-76.6,180.0,top
SW3,223.2,-65.5,180.0,top
SW4,229.922,-99.8083,90.0,top
U1,201.322,-102.7569,270.0,top
U2,219.272,-113.3069,270.0,top
U4,207.2,-80.4,90.0,top
Y3,203.6,-69.3,180.0,top
